#{"t_start": 1700553659.4535732, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-716.90062,61,543.478995
-820.332508,73,543.942306
-1541.61286,116,544.476226
-814.636042,66,545.37419
-1191.00947,92,545.917495
-859.496141,77,546.550689
-922.320322,80,547.111048
-1932.206178,135,547.757563
-849.753324,86,548.751277
-770.594286,60,549.31742
-807.871051,66,549.805643
-1012.138948,84,550.519044
-1178.719768,92,551.447213
-772.134673,65,552.346381
-1297.5144,107,553.08782
-1396.899698,106,554.224025
-1155.727273,93,555.259558
-1234.352208,97,556.150187
-713.749099,56,557.01821
-777.171685,59,557.604421
-911.006797,89,558.182744
-1129.742756,90,559.154477
-1142.636471,90,560.135257
-1217.897651,99,561.125253
-1055.388841,101,562.200649
-1266.792622,108,563.406496
-1878.396973,133,564.659842
-836.623326,68,566.077334
-787.966925,66,566.844949
-856.524604,72,567.498959
-1330.663284,100,568.214544
-735.202841,59,569.185719
-899.306797,76,569.75385
-707.171773,54,570.478719
-735.756468,57,570.979791
-1013.433358,87,571.58772
-1698.413875,122,572.6079
-1797.437112,137,573.878168
-1299.827442,112,575.239689
-1281.241246,101,576.427271
-1178.529833,93,577.504004
-746.627004,58,578.386404
-1075.765879,99,579.002099
-1141.727877,114,580.057739
-783.277497,58,581.138238
-759.397973,59,581.720724
-739.728146,61,582.319768
-1279.968632,98,582.975273
-837.868978,71,583.994634
-1022.805456,82,584.753759
-1552.140804,116,585.581364
-757.845228,59,586.642169
-827.234272,69,587.227477
-983.383469,85,587.888586
-1765.266556,123,588.711007
-922.894115,89,589.87304
-1677.151658,131,590.72436
-725.808679,55,591.881219
-923.889164,83,592.424919
-751.521225,61,593.208418
-1389.944641,105,593.784943
-1335.884895,101,594.738026
-902.979431,85,595.726789
-958.702809,85,596.519201
-2068.669943,141,597.353794
-1814.496043,132,598.7244
-1087.604052,87,599.910547
-770.12891,58,600.689208
-743.911156,86,601.249439
-824.637778,65,602.018159
-753.857853,61,602.616217
-1224.203788,95,603.220047
-997.034949,98,604.133554
-1192.59291,95,605.181484
-1903.795672,142,606.24829
-968.147886,80,607.640732
-1205.461813,93,608.497789
-728.752419,62,609.404949
-1485.216689,116,610.057309
-774.332193,66,611.13475
-709.870751,60,611.795232
-1124.684155,107,612.428291
-776.408654,63,613.381694
-1236.578342,96,613.987046
-826.429047,70,614.871527
-1184.279191,95,615.55497
-1163.274656,92,616.472827
-1060.534771,88,617.64841
-734.002764,56,618.70302
-767.837814,63,619.282222
-1121.448569,91,619.92276
-984.051356,90,620.775246
-1207.793699,94,621.615987
-721.98589,59,622.437469
-1063.892508,87,622.979557
-807.558761,63,623.765668
-1174.972088,92,624.381525
-1111.69777,90,625.243066
-1086.459973,88,626.073334
-1398.393481,111,626.919721
-778.960754,60,627.959284
-1842.842531,129,628.623435
-721.883109,78,629.873009
-1121.955669,100,630.696387
-1246.340771,95,631.686365
-828.918276,82,632.619215
-1179.688404,92,633.41121
-742.313959,56,634.302893
-926.289157,95,634.899205
-1313.825856,101,635.993214
-705.410064,57,637.019734
-1162.188106,126,637.678996
-1609.207503,121,639.001188
-2160.052303,143,640.207518
-1254.74852,97,641.559111
-997.895747,83,642.409291
-849.287442,70,642.90621
-1340.467152,110,643.379184
-1311.634422,105,644.05947
-755.222156,61,644.66865
-1409.073113,106,645.107949
-722.995591,61,645.740002
-689.852708,55,646.103282
-1355.46636,110,646.526102
-1740.322534,125,647.253577
-1114.628232,90,648.004037
-1402.133656,107,648.572947
-1768.517623,124,649.244707
-999.637498,85,650.064391
-2076.809247,142,650.68922
-869.711595,74,651.600915
-1453.258229,114,652.321065
-1422.736125,107,653.399443
-1433.202532,111,654.492326
-1031.750099,92,655.542449
-2026.250474,141,656.43668
-1030.438936,92,657.691618
-738.654671,61,658.536435
-853.360125,85,659.142715
-1403.030176,108,659.96372
-781.552728,64,661.081731
-1109.291288,89,661.80127
-876.659716,89,662.699208
-760.327767,60,663.519549
-1280.914895,99,664.147534
-1201.874999,96,665.120866
-1611.763982,121,665.963656
-1300.518474,101,666.691911
-1034.653839,94,667.326207
-768.087791,58,667.873225
-1768.066139,129,668.269925
-1325.737677,103,669.028734
-725.504674,58,669.598379
-949.503125,78,669.962585
-837.042303,79,670.446162
-962.376032,96,670.936544
-1393.959016,114,671.52084
-840.827819,70,672.189226
-781.162758,60,672.629241
-756.838816,60,673.041952
-747.580614,57,673.408588
-1292.210452,100,673.803926
-701.577823,56,674.450099
-1406.747672,105,674.860215
-2066.465056,141,675.630645
-983.160107,83,676.550523
-1871.049095,131,677.12717
-856.364389,76,678.000256
-1420.695767,118,678.553852
-1206.713202,94,679.324089
-1429.042269,109,679.976138
-1221.653195,97,680.698246
-736.126263,57,681.304907
-1288.465174,99,681.72792
-1682.973777,123,682.416543
-1206.914421,101,683.242687
-1085.456362,88,684.021753
-800.284744,66,684.60714
-1190.235903,97,685.099886
-764.2159,67,685.737536
-739.184531,61,686.190903
-894.048856,87,686.613507
-1331.387849,109,687.228722
-934.425561,81,687.923389
-1686.604919,120,688.569599
-1230.362941,95,689.389411
-755.218415,58,690.017216
-766.481821,63,690.403648
-899.875852,85,690.847773
