datetime,symbol,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2026-03-02 00:00:00,BTCUSDT,65776.48,66796.44,65761.04,66501.52,990.0826,65630671.0812527,405499,499.72613,33145828.9875898
2026-03-02 01:00:00,BTCUSDT,66501.52,67079.0,66358.45,66532.02,886.93071,59150628.8683982,419193,502.17903,33504019.0663022
2026-03-02 02:00:00,BTCUSDT,66532.02,66609.94,65890.5,66276.77,554.16265,36701143.3502719,265409,248.11387,16430769.8265017
2026-03-02 03:00:00,BTCUSDT,66276.77,67037.22,66101.07,66820.03,509.4124,33978536.7823761,213840,274.10188,18282019.8500224
2026-03-02 04:00:00,BTCUSDT,66820.03,66975.74,66633.13,66862.12,750.65203,50131953.9356588,162748,271.26539,18118331.8249845
2026-03-02 05:00:00,BTCUSDT,66862.11,66995.64,66547.81,66730.78,887.19458,59244202.7320843,232259,348.4166,23268523.6042983
2026-03-02 06:00:00,BTCUSDT,66730.78,66739.45,66062.83,66204.9,677.75967,44937679.3644427,241606,340.51962,22567440.9744947
2026-03-02 07:00:00,BTCUSDT,66204.9,66209.46,65542.6,66007.52,1294.85905,85220358.8875641,281351,645.45005,42493627.6169838
2026-03-02 08:00:00,BTCUSDT,66007.8,66306.0,65654.54,66282.0,1104.41132,72841996.8023945,267013,575.44129,37962290.9892845
2026-03-02 09:00:00,BTCUSDT,66281.99,66720.84,66164.96,66168.62,1786.28426,118645127.3984043,329541,509.91802,33870518.2610728
2026-03-02 10:00:00,BTCUSDT,66168.61,66381.74,66079.24,66316.4,436.29038,28898262.5838375,215364,229.33286,15189976.7699559
2026-03-02 11:00:00,BTCUSDT,66316.39,66462.4,66003.59,66359.68,1034.77975,68475239.1618199,239015,323.90079,21446842.130983
2026-03-02 12:00:00,BTCUSDT,66359.67,66391.38,65874.92,65963.43,763.09374,50401600.653459,218778,201.16637,13298999.8098684
2026-03-02 13:00:00,BTCUSDT,65963.43,66157.28,65350.0,65440.01,1576.81345,103639038.0614132,424092,765.14888,50338098.5982654
2026-03-02 14:00:00,BTCUSDT,65440.01,67220.81,65259.21,67177.06,3015.13713,199785731.32222632,806093,1723.53377,114281382.4924926
2026-03-02 15:00:00,BTCUSDT,67177.05,69617.74,66975.29,69130.2,5476.56874,375756893.6699452,1081007,2975.20288,203967562.49860168
2026-03-02 16:00:00,BTCUSDT,69130.2,70096.0,68933.69,69428.62,3440.03188,239243971.93922487,803375,1836.93962,127808569.9205488
2026-03-02 17:00:00,BTCUSDT,69428.62,69578.0,68793.88,69198.0,1445.4415,100066445.6557753,398888,731.75075,50670972.7600098
2026-03-02 18:00:00,BTCUSDT,69198.0,69268.15,68727.83,68877.67,1055.7431,72890341.3939118,295800,540.30343,37312268.6352209
2026-03-02 19:00:00,BTCUSDT,68877.67,69049.32,68576.18,68966.53,886.89114,61051191.1887253,237949,486.40403,33488726.657798
2026-03-02 20:00:00,BTCUSDT,68966.52,69505.0,68584.9,69106.58,1028.13825,71043152.6785969,326162,506.70467,35002634.0382413
2026-03-02 21:00:00,BTCUSDT,69106.58,69539.77,69000.71,69413.82,441.38382,30595523.0136072,167971,245.80531,17035569.96637
2026-03-02 22:00:00,BTCUSDT,69413.82,69501.62,69136.36,69440.49,1330.59238,92217914.7460172,173563,337.82947,23422388.8338796
2026-03-02 23:00:00,BTCUSDT,69440.48,69479.58,68740.0,68830.06,637.72978,44031236.57451,191010,216.75898,14964180.4343804
2026-03-03 00:00:00,BTCUSDT,68830.06,69166.61,68644.38,69092.88,602.91075,41560858.7763925,189176,364.57996,25143881.2944756
2026-03-03 01:00:00,BTCUSDT,69092.89,69258.08,68755.0,68760.01,452.46998,31208530.0419111,195061,243.44462,16794954.3184468
2026-03-03 02:00:00,BTCUSDT,68760.01,68774.13,68210.71,68512.17,848.26905,58081343.1407923,253808,311.37653,21324751.2433965
2026-03-03 03:00:00,BTCUSDT,68512.17,68550.0,68231.47,68377.94,458.44735,31344011.8534278,156591,178.23653,12185247.9823879
2026-03-03 04:00:00,BTCUSDT,68377.94,68454.63,68050.11,68123.2,436.46143,29788970.8571088,154510,132.74586,9061643.2207957
2026-03-03 05:00:00,BTCUSDT,68123.19,68617.42,67845.84,67947.75,913.85345,62339389.3343166,235064,417.44453,28511696.3578642
2026-03-03 06:00:00,BTCUSDT,67947.75,68250.24,67800.0,68106.73,821.19287,55804431.4692866,196778,422.87924,28741017.5377864
2026-03-03 07:00:00,BTCUSDT,68106.73,68275.2,67951.24,68172.8,1165.60519,79432831.2884551,201989,532.89706,36315112.0371739
2026-03-03 08:00:00,BTCUSDT,68172.79,68311.83,66905.0,67003.3,1883.4522,127271273.3762192,440334,817.6137,55221055.5051164
2026-03-03 09:00:00,BTCUSDT,67003.3,67184.71,66340.14,66647.98,1767.88336,118012670.6695717,512555,868.55802,58008646.291905
2026-03-03 10:00:00,BTCUSDT,66647.98,67030.75,66440.46,66860.3,1159.50732,77269960.4336675,351135,745.91752,49722148.337379
2026-03-03 11:00:00,BTCUSDT,66860.3,67166.5,66779.37,67026.61,1271.91624,85196648.374394,349395,537.03866,35969372.2324295
2026-03-03 12:00:00,BTCUSDT,67026.6,67973.2,67025.93,67399.85,1323.51079,89304575.8798681,423380,662.74841,44710711.0443232
2026-03-03 13:00:00,BTCUSDT,67399.85,67435.0,66969.56,67096.81,326.00575,21891447.2388622,157148,131.90528,8857365.2062585
